event_id,field_rep,filter_box,lab_label
GOATIS-170222,2,,253
GOATIS-170222,4,,255
GOATIS-170222,5,,256
GOATIS-170320,1,170320,341
GOATIS-170320,2,170320,342
GOATIS-170320,5,170320,345
GOATIS-170517,1,170516,482
GOATIS-170517,2,170516,483
GOATIS-170517,3,170516,484
GOATIS-170517,5,170516,486
GOATIS-170621,1,170619,577
GOATIS-170621,2,170619,578
GOATIS-170621,3,170619,579
GOATIS-170621,4,170619,580
HOYPTE-170221,1,,232
HOYPTE-170221,4,,235
HOYPTE-170221,5,,236
HOYPTE-170321,3,170320,363
HOYPTE-170321,4,170320,364
HOYPTE-170321,5,170320,365
HOYPTE-170417,1,170413,430
HOYPTE-170417,2,170413,431
HOYPTE-170417,3,170413,433
HOYPTE-170417,4,170413,434
HOYPTE-170417,5,170413,432
HOYPTE-170517,1,170516,492
HOYPTE-170517,2,170516,493
HOYPTE-170517,3,170516,494
HOYPTE-170517,4,170516,495
HOYPTE-170517,5,170516,496
HOYPTE-170621,1,170619,568
HOYPTE-170621,2,170619,569
HOYPTE-170621,3,170619,570
HOYPTE-170621,4,170619,571
LOTRPT-170221,1,,227
LOTRPT-170221,2,,228
LOTRPT-170221,3,,229
LOTRPT-170221,4,,230
LOTRPT-170221,5,,231
LOTRPT-170321,1,170320,351
LOTRPT-170321,4,170320,354
LOTRPT-170321,5,170320,355
LOTRPT-170417,1,170413,435
LOTRPT-170417,2,170413,436
LOTRPT-170417,3,170413,437
LOTRPT-170417,5,170413,439
LOTRPT-170517,1,170516,497
LOTRPT-170517,2,170516,498
LOTRPT-170517,3,170516,499
LOTRPT-170517,4,170516,500
LOTRPT-170517,5,170516,501
LOTRPT-170621,1,170619,573
LOTRPT-170621,2,170619,574
LOTRPT-170621,3,170619,575
LOTRPT-170621,4,170619,576
STRPTN-170222,4,,264
STRPTN-170222,5,,265
STRPTN-170320,3,170320,327
STRPTN-170320,4,170320,328
STRPTN-170320,5,170320,329
STRPTN-170418,1,170413,446
STRPTN-170418,3,170413,448
STRPTN-170418,4,170413,449
STRPTN-170418,5,170413,450
STRPTN-170517,1,170516,487
STRPTN-170517,2,170516,488
STRPTN-170517,3,170516,489
STRPTN-170517,4,170516,490
STRPTN-170517,5,170516,491
STRPTN-170619,1,170619,566
STRPTN-170619,2,170619,567
STRPTN-170619,3,170619,547
STRPTN-170619,4,170619,548
STRPTN-170619,5,170619,549
TURSPN-170221,1,,241
TURSPN-170221,4,,245
TURSPN-170221,5,,244
TURSPN-170321,1,170320,356
TURSPN-170321,2,170320,357
TURSPN-170321,3,170320,358
TURSPN-170321,4,170320,359
TURSPN-170321,5,170320,360
TURSPN-170417,2,170413,421
TURSPN-170417,3,170413,422
TURSPN-170417,4,170413,423
TURSPN-170417,5,170413,424
TURSPN-170516,2,170516,459
TURSPN-170516,3,170516,460
TURSPN-170516,4,170516,461
TURSPN-170621,1,170619,585
TURSPN-170621,2,170619,586
TURSPN-170621,3,170619,587
TURSPN-170621,4,170619,588
